date,category,task,completed,created_at
2025-09-26,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-26,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-09-27,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 9 of 20,False,2025-08-07 15:18:09.546226
2025-09-27,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-27,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-09-28,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 10 of 20,False,2025-08-07 15:18:09.546226
2025-09-28,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-28,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-09-29,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 11 of 20,False,2025-08-07 15:18:09.546226
2025-09-29,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-29,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-09-30,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 12 of 20,False,2025-08-07 15:18:09.546226
2025-09-30,Workout,Run 4 miles,False,2025-08-07 15:18:09.546226
2025-09-30,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-10-01,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 13 of 20,False,2025-08-07 15:18:09.546226
2025-10-01,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-01,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-10-02,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 14 of 20,False,2025-08-07 15:18:09.546226
2025-10-02,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-02,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-10-03,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 15 of 20,False,2025-08-07 15:18:09.546226
2025-10-03,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-03,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-10-04,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 16 of 20,False,2025-08-07 15:18:09.546226
2025-10-04,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-04,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-10-05,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 17 of 20,False,2025-08-07 15:18:09.546226
2025-10-05,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-05,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-10-06,Project,Valuation Dashboard (DCF) (Automate DCF with Dash/Streamlit add AI scoring) - Day 18 of 20,False,2025-08-07 15:18:09.546226
2025-10-06,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-06,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-10-07,Project,Valuation Dashboard (DCF) - Finalize & deploy,False,2025-08-07 15:18:09.546226
2025-10-07,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-07,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-10-08,Project,Sales Funnel Optimization (Use sales data predictive insights) - Day 1 of 15,False,2025-08-07 15:18:09.546226
2025-10-08,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-08,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-10-09,Project,Sales Funnel Optimization - Day 2 of 15,False,2025-08-07 15:18:09.546226
2025-10-09,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-09,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-10-10,Project,Sales Funnel Optimization - Day 3 of 15,False,2025-08-07 15:18:09.546226
2025-10-10,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-10,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-10-11,Project,Sales Funnel Optimization - Day 4 of 15,False,2025-08-07 15:18:09.546226
2025-10-11,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-11,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-10-12,Project,Sales Funnel Optimization - Day 5 of 15,False,2025-08-07 15:18:09.546226
2025-10-12,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-12,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-10-13,Project,Sales Funnel Optimization - Day 6 of 15,False,2025-08-07 15:18:09.546226
2025-10-13,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-13,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-10-14,Project,Sales Funnel Optimization - Day 7 of 15,False,2025-08-07 15:18:09.546226
2025-10-14,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-14,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-10-15,Project,Sales Funnel Optimization - Day 8 of 15,False,2025-08-07 15:18:09.546226
2025-10-15,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-15,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-10-16,Project,Sales Funnel Optimization - Day 9 of 15,False,2025-08-07 15:18:09.546226
2025-10-16,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-16,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-10-17,Project,Sales Funnel Optimization - Day 10 of 15,False,2025-08-07 15:18:09.546226
2025-10-17,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-17,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-10-18,Project,Sales Funnel Optimization - Day 11 of 15,False,2025-08-07 15:18:09.546226
2025-10-18,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-18,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-10-19,Project,Sales Funnel Optimization - Day 12 of 15,False,2025-08-07 15:18:09.546226
2025-10-19,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-19,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-10-20,Project,Sales Funnel Optimization - Day 13 of 15,False,2025-08-07 15:18:09.546226
2025-10-20,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-20,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-10-21,Project,Sales Funnel Optimization - Day 14 of 15,False,2025-08-07 15:18:09.546226
2025-10-21,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-21,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-10-22,Project,Sales Funnel Optimization - Finalize report and presentation,False,2025-08-07 15:18:09.546226
2025-10-22,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-22,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-10-23,Project,Market Entry Strategy (Strategy consulting style analysis) - Day 1 of 10,False,2025-08-07 15:18:09.546226
2025-10-23,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-23,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-10-24,Project,Market Entry Strategy - Day 2 of 10,False,2025-08-07 15:18:09.546226
2025-10-24,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-24,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-10-25,Project,Market Entry Strategy - Day 3 of 10,False,2025-08-07 15:18:09.546226
2025-10-25,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-25,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-10-26,Project,Market Entry Strategy - Day 4 of 10,False,2025-08-07 15:18:09.546226
2025-10-26,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-26,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-10-27,Project,Market Entry Strategy - Day 5 of 10,False,2025-08-07 15:18:09.546226
2025-10-27,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-27,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-10-28,Project,Market Entry Strategy - Day 6 of 10,False,2025-08-07 15:18:09.546226
2025-10-28,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-28,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-10-29,Project,Market Entry Strategy - Day 7 of 10,False,2025-08-07 15:18:09.546226
2025-10-29,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-29,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-10-30,Project,Market Entry Strategy - Day 8 of 10,False,2025-08-07 15:18:09.546226
2025-10-30,Workout,Run 5 miles,False,2025-08-07 15:18:09.546226
2025-10-30,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-10-31,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-11-01,Project,Market Entry Strategy - Final day (Day 10 of 10),False,2025-08-07 15:18:09.546226
2025-11-01,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-01,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-11-02,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-02,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-11-03,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-03,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-11-04,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-04,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-11-05,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-05,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-11-06,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-06,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-11-07,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-07,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-11-08,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-08,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-11-09,Project,Database Design (PostgreSQL) - Day 1 of 11,False,2025-08-07 15:18:09.546226
2025-11-09,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-09,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-11-10,Project,Database Design (PostgreSQL) - Day 2 of 11,False,2025-08-07 15:18:09.546226
2025-11-10,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-10,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-11-11,Project,Database Design (PostgreSQL) - Day 3 of 11,False,2025-08-07 15:18:09.546226
2025-11-11,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-11,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-11-12,Project,Database Design (PostgreSQL) - Day 4 of 11,False,2025-08-07 15:18:09.546226
2025-11-12,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-12,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-11-13,Project,Database Design (PostgreSQL) - Day 5 of 11,False,2025-08-07 15:18:09.546226
2025-11-13,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-13,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-11-14,Project,Database Design (PostgreSQL) - Day 6 of 11,False,2025-08-07 15:18:09.546226
2025-11-14,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-14,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-11-15,Project,Database Design (PostgreSQL) - Day 7 of 11,False,2025-08-07 15:18:09.546226
2025-11-15,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-15,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-11-16,Project,Database Design (PostgreSQL) - Day 8 of 11,False,2025-08-07 15:18:09.546226
2025-11-16,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-16,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-11-17,Project,Database Design (PostgreSQL) - Day 9 of 11,False,2025-08-07 15:18:09.546226
2025-11-17,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-17,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-11-18,Project,Database Design (PostgreSQL) - Day 10 of 11,False,2025-08-07 15:18:09.546226
2025-11-18,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-18,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-11-19,Project,Database Design (PostgreSQL) - Day 11 of 11,False,2025-08-07 15:18:09.546226
2025-11-19,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-19,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-11-20,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-20,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-11-21,Project,CRM Enhancement Plan (UI/UX Systems Integration) - Day 1 of 11,False,2025-08-07 15:18:09.546226
2025-11-21,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-21,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
2025-11-22,Project,CRM Enhancement Plan - Day 2 of 11,False,2025-08-07 15:18:09.546226
2025-11-22,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-22,Workout,Movement day workout,False,2025-08-07 15:18:09.546226
2025-11-23,Project,CRM Enhancement Plan - Day 3 of 11,False,2025-08-07 15:18:09.546226
2025-11-23,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-23,Workout,Shoulder day workout,False,2025-08-07 15:18:09.546226
2025-11-24,Project,Financial Statement Analyzer (Automated financial ratio analysis) - Day 1 of 5,False,2025-08-07 15:18:09.546226
2025-11-24,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-24,Workout,Yoga workout,False,2025-08-07 15:18:09.546226
2025-11-25,Project,CRM Enhancement Plan - Day 4 of 11,False,2025-08-07 15:18:09.546226
2025-11-25,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-25,Workout,Leg day workout,False,2025-08-07 15:18:09.546226
2025-11-26,Project,CRM Enhancement Plan - Day 5 of 11,False,2025-08-07 15:18:09.546226
2025-11-26,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-26,Workout,Back day workout,False,2025-08-07 15:18:09.546226
2025-11-27,Project,CRM Enhancement Plan - Day 6 of 11,False,2025-08-07 15:18:09.546226
2025-11-27,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-27,Workout,Chest day workout,False,2025-08-07 15:18:09.546226
2025-11-28,Project,Financial Statement Analyzer - Day 2 of 5,False,2025-08-07 15:18:09.546226
2025-11-28,Workout,Run 6 miles,False,2025-08-07 15:18:09.546226
2025-11-28,Workout,Plyometric day workout,False,2025-08-07 15:18:09.546226
